# [v2] word=geschenkcheques mask=(0, 3, 7, 9, 11, 12, 14) LB=2010 reserve=1 cap=1200.0 workers=20
# [v2] mask (0, 3, 7, 9, 11, 12, 14) main_const=1724 vfloor=286 (LB=2010)
# enumerating BLANK-AWARE band (nominal - deficit > 286) ...
    [enum] 50M nodes, 1003521 in band
    [enum] 100M nodes, 4907503 in band
    [enum] 150M nodes, 6576283 in band
# 6706022 combos in band (capped=False), collected 6706022; enum 2723s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 6706022 to test
  ... 35000/6706022 tested (8.86/s, ~209.3h left); undecided=0
  ... 35200/6706022 tested (8.86/s, ~209.3h left); undecided=0
  ... 35400/6706022 tested (8.86/s, ~209.1h left); undecided=0
  ... 35600/6706022 tested (8.85/s, ~209.3h left); undecided=0
  ... 35800/6706022 tested (8.87/s, ~208.8h left); undecided=0
  ... 36000/6706022 tested (8.88/s, ~208.8h left); undecided=0
  ... 36200/6706022 tested (8.88/s, ~208.6h left); undecided=0
  ... 36400/6706022 tested (8.89/s, ~208.5h left); undecided=0
  ... 36600/6706022 tested (8.87/s, ~208.8h left); undecided=0
  ... 36800/6706022 tested (8.85/s, ~209.2h left); undecided=0
  ... 37000/6706022 tested (8.83/s, ~209.7h left); undecided=0
  ... 37200/6706022 tested (8.82/s, ~210.1h left); undecided=0
  ... 37400/6706022 tested (8.81/s, ~210.3h left); undecided=0
  ... 37600/6706022 tested (8.75/s, ~211.6h left); undecided=0
  ... 37800/6706022 tested (8.71/s, ~212.6h left); undecided=0
  ... 38000/6706022 tested (8.68/s, ~213.4h left); undecided=0
  ... 38200/6706022 tested (8.65/s, ~214.0h left); undecided=0
  ... 38400/6706022 tested (8.62/s, ~215.0h left); undecided=0
  ... 38600/6706022 tested (8.55/s, ~216.6h left); undecided=0
  ... 38800/6706022 tested (8.51/s, ~217.7h left); undecided=0
  ... 39000/6706022 tested (8.44/s, ~219.3h left); undecided=0
  ... 39200/6706022 tested (8.41/s, ~220.1h left); undecided=0
  ... 39400/6706022 tested (8.42/s, ~219.9h left); undecided=0
  ... 39600/6706022 tested (8.42/s, ~219.8h left); undecided=0
  ... 39800/6706022 tested (8.44/s, ~219.4h left); undecided=0
  ... 40000/6706022 tested (8.44/s, ~219.3h left); undecided=0
  ... 40200/6706022 tested (8.43/s, ~219.6h left); undecided=0
  ... 40400/6706022 tested (8.42/s, ~220.0h left); undecided=0
