# [v2] word=geschenkcheques mask=(0, 3, 7, 8, 11, 13, 14) LB=2010 reserve=1 cap=1200.0 workers=20
# [v2] mask (0, 3, 7, 8, 11, 13, 14) main_const=1724 vfloor=286 (LB=2010)
# enumerating BLANK-AWARE band (nominal - deficit > 286) ...
    [enum] 50M nodes, 3007998 in band
# 3063175 combos in band (capped=False), collected 3063175; enum 517s; 0 already in ledger
# ledger: 0 UNSAT, 0 SAT, 0 UNKNOWN, 0 ERROR already; 3063175 to test
# engine=pinbatch base=/home/bob/programming/scrabble4/experiments/results/oracle_parallel/base_0_3_7_8_11_13_14.txt PINWALL=5s audit=1/1000
  ... 40800/3063175 tested (1715.81/s, ~0.5h left); undecided=0
  ... 41000/3063175 tested (1723.64/s, ~0.5h left); undecided=0
  ... 41200/3063175 tested (1731.72/s, ~0.5h left); undecided=0
  ... 41400/3063175 tested (1739.70/s, ~0.5h left); undecided=0
  ... 41600/3063175 tested (1747.70/s, ~0.5h left); undecided=0
  ... 41800/3063175 tested (1755.44/s, ~0.5h left); undecided=0
  ... 42000/3063175 tested (1763.61/s, ~0.5h left); undecided=0
  ... 42200/3063175 tested (1771.61/s, ~0.5h left); undecided=0
  ... 42400/3063175 tested (1779.57/s, ~0.5h left); undecided=0
  ... 42600/3063175 tested (1784.91/s, ~0.5h left); undecided=0
  ... 42800/3063175 tested (1792.02/s, ~0.5h left); undecided=0
  ... 43000/3063175 tested (1799.27/s, ~0.5h left); undecided=0
  ... 43200/3063175 tested (1806.90/s, ~0.5h left); undecided=0
  ... 43400/3063175 tested (1814.56/s, ~0.5h left); undecided=0
  ... 43600/3063175 tested (1822.46/s, ~0.5h left); undecided=0
  ... 43800/3063175 tested (1830.36/s, ~0.5h left); undecided=0
  ... 44000/3063175 tested (1838.24/s, ~0.5h left); undecided=0
  ... 44200/3063175 tested (1845.53/s, ~0.5h left); undecided=0
  ... 44400/3063175 tested (1853.57/s, ~0.5h left); undecided=0
  ... 44600/3063175 tested (1861.52/s, ~0.5h left); undecided=0
  ... 44800/3063175 tested (1869.50/s, ~0.4h left); undecided=0
  ... 45000/3063175 tested (1876.84/s, ~0.4h left); undecided=0
  ... 45200/3063175 tested (1884.48/s, ~0.4h left); undecided=0
  ... 45400/3063175 tested (1892.67/s, ~0.4h left); undecided=0
  ... 45600/3063175 tested (1900.48/s, ~0.4h left); undecided=0
  ... 45800/3063175 tested (1908.66/s, ~0.4h left); undecided=0
  ... 46000/3063175 tested (1916.59/s, ~0.4h left); undecided=0
  ... 46200/3063175 tested (1924.60/s, ~0.4h left); undecided=0
  ... 46400/3063175 tested (1932.03/s, ~0.4h left); undecided=0
  ... 46600/3063175 tested (1939.31/s, ~0.4h left); undecided=0
  ... 46800/3063175 tested (1946.61/s, ~0.4h left); undecided=0
  ... 47000/3063175 tested (1954.08/s, ~0.4h left); undecided=0
  ... 47200/3063175 tested (1962.24/s, ~0.4h left); undecided=0
  ... 47400/3063175 tested (1969.50/s, ~0.4h left); undecided=0
  ... 47600/3063175 tested (1977.41/s, ~0.4h left); undecided=0
  ... 47800/3063175 tested (1985.39/s, ~0.4h left); undecided=0
  ... 48000/3063175 tested (1993.52/s, ~0.4h left); undecided=0
  ... 48200/3063175 tested (2001.46/s, ~0.4h left); undecided=0
  ... 48400/3063175 tested (2009.57/s, ~0.4h left); undecided=0
  ... 48600/3063175 tested (2017.38/s, ~0.4h left); undecided=0
  ... 48800/3063175 tested (2025.53/s, ~0.4h left); undecided=0
  ... 49000/3063175 tested (2033.59/s, ~0.4h left); undecided=0
  ... 49200/3063175 tested (2041.73/s, ~0.4h left); undecided=0
  ... 49400/3063175 tested (2049.82/s, ~0.4h left); undecided=0
  ... 49600/3063175 tested (2057.58/s, ~0.4h left); undecided=0
  ... 49800/3063175 tested (2064.31/s, ~0.4h left); undecided=0
  ... 50000/3063175 tested (2070.80/s, ~0.4h left); undecided=0
  ... 50200/3063175 tested (2078.72/s, ~0.4h left); undecided=0
  ... 50400/3063175 tested (2086.74/s, ~0.4h left); undecided=0
  ... 50600/3063175 tested (2094.68/s, ~0.4h left); undecided=0
  ... 50800/3063175 tested (2102.60/s, ~0.4h left); undecided=0
  ... 51000/3063175 tested (2110.51/s, ~0.4h left); undecided=0
  ... 51200/3063175 tested (2118.15/s, ~0.4h left); undecided=0
  ... 51400/3063175 tested (2126.24/s, ~0.4h left); undecided=0
  ... 51600/3063175 tested (2133.99/s, ~0.4h left); undecided=0
  ... 51800/3063175 tested (2141.93/s, ~0.4h left); undecided=0
  ... 52000/3063175 tested (2149.88/s, ~0.4h left); undecided=0
  ... 52200/3063175 tested (2157.65/s, ~0.4h left); undecided=0
  ... 52400/3063175 tested (2165.55/s, ~0.4h left); undecided=0
  ... 52600/3063175 tested (2173.39/s, ~0.4h left); undecided=0
  ... 52800/3063175 tested (2180.99/s, ~0.4h left); undecided=0
  ... 53000/3063175 tested (2188.07/s, ~0.4h left); undecided=0
  ... 53200/3063175 tested (2195.44/s, ~0.4h left); undecided=0
  ... 53400/3063175 tested (2202.45/s, ~0.4h left); undecided=0
  ... 53600/3063175 tested (2209.60/s, ~0.4h left); undecided=0
  ... 53800/3063175 tested (2216.82/s, ~0.4h left); undecided=0
  ... 54000/3063175 tested (2224.48/s, ~0.4h left); undecided=0
  ... 54200/3063175 tested (2232.14/s, ~0.4h left); undecided=0
  ... 54400/3063175 tested (2239.20/s, ~0.4h left); undecided=0
  ... 54600/3063175 tested (2246.94/s, ~0.4h left); undecided=0
  ... 54800/3063175 tested (2254.95/s, ~0.4h left); undecided=0
  ... 55000/3063175 tested (2262.99/s, ~0.4h left); undecided=0
  ... 55200/3063175 tested (2270.98/s, ~0.4h left); undecided=0
  ... 55400/3063175 tested (2279.01/s, ~0.4h left); undecided=0
  ... 55600/3063175 tested (2286.94/s, ~0.4h left); undecided=0
  ... 55800/3063175 tested (2294.87/s, ~0.4h left); undecided=0
  ... 56000/3063175 tested (2302.45/s, ~0.4h left); undecided=0
  ... 56200/3063175 tested (2310.23/s, ~0.4h left); undecided=0
  ... 56400/3063175 tested (2318.20/s, ~0.4h left); undecided=0
  ... 56600/3063175 tested (2326.21/s, ~0.4h left); undecided=0
  ... 56800/3063175 tested (2334.25/s, ~0.4h left); undecided=0
  ... 57000/3063175 tested (2341.93/s, ~0.4h left); undecided=0
  ... 57200/3063175 tested (2349.90/s, ~0.4h left); undecided=0
  ... 57400/3063175 tested (2357.93/s, ~0.4h left); undecided=0
  ... 57600/3063175 tested (2365.60/s, ~0.4h left); undecided=0
  ... 57800/3063175 tested (2373.09/s, ~0.4h left); undecided=0
  ... 58000/3063175 tested (2380.83/s, ~0.4h left); undecided=0
  ... 58200/3063175 tested (2388.13/s, ~0.3h left); undecided=0
  ... 58400/3063175 tested (2396.07/s, ~0.3h left); undecided=0
  ... 58600/3063175 tested (2402.82/s, ~0.3h left); undecided=0
  ... 58800/3063175 tested (2409.82/s, ~0.3h left); undecided=0
  ... 59000/3063175 tested (2417.37/s, ~0.3h left); undecided=0
  ... 59200/3063175 tested (2424.97/s, ~0.3h left); undecided=0
  ... 59400/3063175 tested (2432.43/s, ~0.3h left); undecided=0
  ... 59600/3063175 tested (2440.04/s, ~0.3h left); undecided=0
  ... 59800/3063175 tested (2447.71/s, ~0.3h left); undecided=0
  ... 60000/3063175 tested (2455.36/s, ~0.3h left); undecided=0
  ... 60200/3063175 tested (2462.67/s, ~0.3h left); undecided=0
  ... 60400/3063175 tested (2470.25/s, ~0.3h left); undecided=0
  ... 60600/3063175 tested (2477.82/s, ~0.3h left); undecided=0
  ... 60800/3063175 tested (2485.00/s, ~0.3h left); undecided=0
  ... 61000/3063175 tested (2491.82/s, ~0.3h left); undecided=0
  ... 61200/3063175 tested (2498.84/s, ~0.3h left); undecided=0
  ... 61400/3063175 tested (2505.59/s, ~0.3h left); undecided=0
  ... 61600/3063175 tested (2512.17/s, ~0.3h left); undecided=0
  ... 61800/3063175 tested (2519.12/s, ~0.3h left); undecided=0
  ... 62000/3063175 tested (2526.15/s, ~0.3h left); undecided=0
  ... 62200/3063175 tested (2533.35/s, ~0.3h left); undecided=0
  ... 62400/3063175 tested (2540.56/s, ~0.3h left); undecided=0
  ... 62600/3063175 tested (2548.45/s, ~0.3h left); undecided=0
  ... 62800/3063175 tested (2555.63/s, ~0.3h left); undecided=0
  ... 63000/3063175 tested (2561.98/s, ~0.3h left); undecided=0
  ... 63200/3063175 tested (2568.89/s, ~0.3h left); undecided=0
  ... 63400/3063175 tested (2575.67/s, ~0.3h left); undecided=0
  ... 63600/3063175 tested (2581.63/s, ~0.3h left); undecided=0
  ... 63800/3063175 tested (2588.62/s, ~0.3h left); undecided=0
  ... 64000/3063175 tested (2596.00/s, ~0.3h left); undecided=0
  ... 64200/3063175 tested (2603.35/s, ~0.3h left); undecided=0
  ... 64400/3063175 tested (2610.77/s, ~0.3h left); undecided=0
  ... 64600/3063175 tested (2618.65/s, ~0.3h left); undecided=0
  ... 64800/3063175 tested (2626.53/s, ~0.3h left); undecided=0
  ... 65000/3063175 tested (2634.06/s, ~0.3h left); undecided=0
  ... 65200/3063175 tested (2641.15/s, ~0.3h left); undecided=0
  ... 65400/3063175 tested (2648.70/s, ~0.3h left); undecided=0
  ... 65600/3063175 tested (2655.87/s, ~0.3h left); undecided=0
  ... 65800/3063175 tested (2663.52/s, ~0.3h left); undecided=0
  ... 66000/3063175 tested (2670.68/s, ~0.3h left); undecided=0
  ... 66200/3063175 tested (2678.42/s, ~0.3h left); undecided=0
  ... 66400/3063175 tested (2686.27/s, ~0.3h left); undecided=0
  ... 66600/3063175 tested (2694.18/s, ~0.3h left); undecided=0
  ... 66800/3063175 tested (2701.83/s, ~0.3h left); undecided=0
  ... 67000/3063175 tested (2709.57/s, ~0.3h left); undecided=0
  ... 67200/3063175 tested (2717.29/s, ~0.3h left); undecided=0
  ... 67400/3063175 tested (2725.13/s, ~0.3h left); undecided=0
  ... 67600/3063175 tested (2732.57/s, ~0.3h left); undecided=0
  ... 67800/3063175 tested (2740.47/s, ~0.3h left); undecided=0
  ... 68000/3063175 tested (2748.18/s, ~0.3h left); undecided=0
