[06:18:11] === STREAM CERTIFY mask=(0, 3, 7, 9, 11, 13, 14) lb=2010 vfloor=286 shards=20 dir=/home/bob/programming/scrabble4/experiments/results/oracle_parallel/stream_0379111314_lb2010
[06:39:31]   enum: 20M streamed (15624/s)
[07:02:35]   enum: 40M streamed (15016/s)
[07:16:18]   enum: 60M streamed (17206/s)
[07:24:05]   enum: 80M streamed (20236/s)
[07:34:51]   enum: 100M streamed (21739/s)
[07:42:46]   enum: 120M streamed (23645/s)
[07:51:16]   enum: 140M streamed (25069/s)
[07:59:44]   enum: 160M streamed (26261/s)
[08:17:38]   enum: 180M streamed (25115/s)
[08:26:51]   enum: 200M streamed (25908/s)
[08:36:28]   enum: 220M streamed (26517/s)
[08:48:54]   enum: 240M streamed (26540/s)
[09:01:15]   enum: 260M streamed (26573/s)
[09:18:16]   enum: 280M streamed (25913/s)
[09:22:49] enum DONE: count=282299680 streamed=282299680 capped=False
[09:22:49] launched 20 pinbatch shard workers (PINWALL=5s)
[13:26:36]   solve: 118903034/282299680 (8129/s, ~5.6h left)
[13:27:43]   solve: 118957403/282299680 (8096/s, ~5.6h left)
[13:28:50]   solve: 119010254/282299680 (8062/s, ~5.6h left)
[13:29:59]   solve: 119067302/282299680 (8029/s, ~5.6h left)
[13:31:06]   solve: 119110520/282299680 (7996/s, ~5.7h left)
[13:32:14]   solve: 119172814/282299680 (7964/s, ~5.7h left)
[13:33:21]   solve: 119230217/282299680 (7932/s, ~5.7h left)
[13:34:29]   solve: 119405402/282299680 (7908/s, ~5.7h left)
[13:35:37]   solve: 119579410/282299680 (7884/s, ~5.7h left)
[13:36:45]   solve: 119751720/282299680 (7860/s, ~5.7h left)
[13:37:52]   solve: 119895609/282299680 (7835/s, ~5.8h left)
[13:39:00]   solve: 120108515/282299680 (7814/s, ~5.8h left)
[13:40:09]   solve: 120265855/282299680 (7790/s, ~5.8h left)
[13:41:16]   solve: 120420711/282299680 (7766/s, ~5.8h left)
[13:42:24]   solve: 120544178/282299680 (7740/s, ~5.8h left)
[13:43:32]   solve: 120665183/282299680 (7714/s, ~5.8h left)
[13:44:39]   solve: 120752044/282299680 (7686/s, ~5.8h left)
[13:45:47]   solve: 120878472/282299680 (7661/s, ~5.9h left)
[13:46:54]   solve: 120992316/282299680 (7636/s, ~5.9h left)
[13:48:03]   solve: 121064003/282299680 (7608/s, ~5.9h left)
[13:49:11]   solve: 121165178/282299680 (7582/s, ~5.9h left)
[13:50:19]   solve: 121268094/282299680 (7556/s, ~5.9h left)
[13:51:28]   solve: 121347377/282299680 (7529/s, ~5.9h left)
[13:52:35]   solve: 121434154/282299680 (7503/s, ~6.0h left)
[13:53:42]   solve: 121496494/282299680 (7475/s, ~6.0h left)
[13:54:50]   solve: 121548788/282299680 (7448/s, ~6.0h left)
[13:55:57]   solve: 121932375/282299680 (7440/s, ~6.0h left)
[13:57:04]   solve: 122331347/282299680 (7434/s, ~6.0h left)
[13:58:12]   solve: 122616064/282299680 (7421/s, ~6.0h left)
[13:59:20]   solve: 123125135/282299680 (7421/s, ~6.0h left)
[14:00:29]   solve: 124052555/282299680 (7446/s, ~5.9h left)
[14:01:37]   solve: 124627618/282299680 (7450/s, ~5.9h left)
[14:02:45]   solve: 124907620/282299680 (7437/s, ~5.9h left)
[14:03:53]   solve: 125509628/282299680 (7443/s, ~5.9h left)
[14:05:01]   solve: 126142711/282299680 (7450/s, ~5.8h left)
[14:06:08]   solve: 127067695/282299680 (7475/s, ~5.8h left)
[14:07:16]   solve: 128305812/282299680 (7518/s, ~5.7h left)
[14:08:24]   solve: 129415655/282299680 (7553/s, ~5.6h left)
[14:09:32]   solve: 130106512/282299680 (7563/s, ~5.6h left)
[14:10:41]   solve: 131586953/282299680 (7619/s, ~5.5h left)
[14:11:50]   solve: 132441054/282299680 (7637/s, ~5.5h left)
[14:12:59]   solve: 132917067/282299680 (7635/s, ~5.4h left)
[14:14:07]   solve: 133713509/282299680 (7650/s, ~5.4h left)
[14:15:16]   solve: 134207198/282299680 (7649/s, ~5.4h left)
[14:16:24]   solve: 134582929/282299680 (7640/s, ~5.4h left)
[14:17:33]   solve: 135162529/282299680 (7643/s, ~5.3h left)
[14:18:42]   solve: 135501504/282299680 (7633/s, ~5.3h left)
[14:19:51]   solve: 135697471/282299680 (7614/s, ~5.3h left)
[14:21:00]   solve: 135863016/282299680 (7594/s, ~5.4h left)
[14:22:09]   solve: 135974381/282299680 (7571/s, ~5.4h left)
[14:23:18]   solve: 136049563/282299680 (7546/s, ~5.4h left)
[14:24:27]   solve: 136137589/282299680 (7522/s, ~5.4h left)
[14:25:35]   solve: 136378786/282299680 (7507/s, ~5.4h left)
[14:26:44]   solve: 136713629/282299680 (7497/s, ~5.4h left)
[14:27:53]   solve: 137254504/282299680 (7499/s, ~5.4h left)
[14:29:02]   solve: 137812936/282299680 (7501/s, ~5.4h left)
[14:30:11]   solve: 138487176/282299680 (7509/s, ~5.3h left)
[14:31:20]   solve: 139247102/282299680 (7523/s, ~5.3h left)
[14:32:30]   solve: 139874421/282299680 (7528/s, ~5.3h left)
[14:33:39]   solve: 140688415/282299680 (7544/s, ~5.2h left)
[14:34:49]   solve: 141475157/282299680 (7558/s, ~5.2h left)
[14:35:57]   solve: 142072073/282299680 (7562/s, ~5.2h left)
[14:37:06]   solve: 142525826/282299680 (7558/s, ~5.1h left)
[14:38:15]   solve: 142883374/282299680 (7550/s, ~5.1h left)
[14:39:25]   solve: 143279213/282299680 (7543/s, ~5.1h left)
[14:40:34]   solve: 143568903/282299680 (7531/s, ~5.1h left)
[14:41:42]   solve: 143781712/282299680 (7515/s, ~5.1h left)
[14:42:51]   solve: 143971681/282299680 (7498/s, ~5.1h left)
[14:44:01]   solve: 144330530/282299680 (7489/s, ~5.1h left)
[14:45:11]   solve: 144639784/282299680 (7478/s, ~5.1h left)
[14:46:20]   solve: 145194889/282299680 (7480/s, ~5.1h left)
[14:47:29]   solve: 145620721/282299680 (7475/s, ~5.1h left)
[14:48:39]   solve: 146086191/282299680 (7473/s, ~5.1h left)
[14:49:48]   solve: 146632384/282299680 (7474/s, ~5.0h left)
[14:50:57]   solve: 147189431/282299680 (7476/s, ~5.0h left)
[14:52:07]   solve: 147775371/282299680 (7479/s, ~5.0h left)
[14:53:17]   solve: 148305018/282299680 (7480/s, ~5.0h left)
[14:54:27]   solve: 148839438/282299680 (7480/s, ~5.0h left)
[14:55:36]   solve: 149240784/282299680 (7474/s, ~4.9h left)
[14:56:47]   solve: 149704945/282299680 (7471/s, ~4.9h left)
[14:57:56]   solve: 150028211/282299680 (7462/s, ~4.9h left)
[14:59:06]   solve: 150381981/282299680 (7453/s, ~4.9h left)
[15:00:16]   solve: 150812126/282299680 (7449/s, ~4.9h left)
[15:01:26]   solve: 151259208/282299680 (7445/s, ~4.9h left)
[15:02:35]   solve: 151733160/282299680 (7443/s, ~4.9h left)
[15:03:44]   solve: 152212783/282299680 (7442/s, ~4.9h left)
[15:04:54]   solve: 152742824/282299680 (7442/s, ~4.8h left)
[15:06:03]   solve: 153391702/282299680 (7448/s, ~4.8h left)
[15:07:13]   solve: 154104017/282299680 (7458/s, ~4.8h left)
