# N=13 left-block {0..6} candidate ranking  (optimistic total = main + vert)
# WM=9 wm0=[3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3] lm0=[1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1]
# opt_total   main   vert  word
        732    446    286  reuzencheques
        732    446    286  quizachtigste
        732    446    286  quizachtigers
        732    446    286  quadrupelfuga
        732    446    286  nieuwsquizjes
        732    446    286  muurplaquetje
        732    446    286  lichtquantjes
        732    437    295  zenuwvlechtje
        732    437    295  weefschuurtje
        732    437    295  wagyurunderen
        732    437    295  wachtclausjes
        732    437    295  tochtschuwste
        732    437    295  schrijfhulpje
        732    437    295  polygenetisch
        732    437    295  polycrisisjes
        732    437    295  polychromeren
        732    437    295  pasquinadetje
        732    437    295  lymfbobbeltje
        732    437    295  lichtschuwere
        732    437    295  huurschuldjes
        732    437    295  geaquafitnest
        732    437    295  flexwoninkjes
        732    437    295  flexiecirkels
        732    437    295  etiquetteklas
        732    437    295  deuxpiecesjes
        732    437    295  curriculumpje
        732    437    295  cultuurshocks
        732    437    295  copypastertje
        732    437    295  coaxkabeltjes
        732    437    295  calypsozanger
        732    437    295  bodywarmertje
        732    437    295  bodypacksters
        732    437    295  babywangetjes
        732    437    295  babywalvissen
        732    437    295  babylancetjes
        732    437    295  babyachtigere
        731    455    276  exabecquerels
        731    446    285  hemicyclusjes
        731    446    285  cowboyranchje
        731    446    285  cowboyachtigs
        731    446    285  countryclubje
        731    437    294  zuilschachtje
        731    437    294  ultraluxueuze
        731    437    294  quinquagesima
        731    437    294  cubiculumpjes
        731    428    303  struikcultuur
        731    428    303  structuurduif
        731    428    303  slijpschijfje
        731    428    303  clickjackings
        731    428    303  clicheachtigs
        731    428    303  circusknechts
        731    428    303  circusachtigs
        731    428    303  circumspectst
        731    428    303  chocoholicjes
        730    455    275  qwertyklavier
        730    446    284  profylaxisjes
        730    446    284  profylaxetjes
        730    437    293  vijfsyllabigs
        730    437    293  vachtenschouw
        730    437    293  recycleerbare
        730    437    293  recycleerbaar
        730    437    293  halfvolleytje
        730    437    293  gecycliseerde
        730    437    293  copywritester
        730    437    293  conquesterend
        730    437    293  conquesteerde
        730    437    293  achtvluchtjes
        730    428    302  vulfiguurtjes
        730    428    302  rubbercultuur
        730    428    302  pueblocultuur
        730    428    302  nieuwbouwwijk
        730    428    302  burgercultuur
        729    455    274  taxichequejes
        729    446    283  watercyclusje
        729    446    283  exlijfwachtje
        729    446    283  aquariumclubs
        729    437    292  vruchtenmixes
        729    437    292  volksjurytjes
        729    437    292  uitcomplexjes
        729    437    292  speculysetjes
        729    437    292  puppyeffecten
        729    437    292  puppyachtiger
        729    437    292  publieksjurys
        729    437    292  psychrofoobst
        729    437    292  psychrofobers
        729    437    292  psychrofielst
        729    437    292  psychotraumas
        729    437    292  psychonautjes
        729    437    292  psycholoogjes
        729    437    292  psychologetje
        729    437    292  psychismetjes
        729    437    292  psychalgietje
        729    437    292  leycentrumpje
        729    437    292  fosburyflopje
        729    437    292  fancyprijsjes
        729    437    292  exschrijfster
        729    437    292  burgerjurytje
        729    428    301  vruchtvliesje
        729    428    301  vruchtstukken
        729    428    301  vruchtkiempje
        729    428    301  vruchthouders
        729    428    301  vruchthoopjes
        729    428    301  vruchtboompje
        729    428    301  vluchtruimtes
        729    428    301  vluchtprogram
        729    428    301  touwbuffertje
        729    428    301  punctuurvrije
        729    428    301  potcultuurtje
        729    428    301  plichtverzuim
        729    428    301  lunchpauzetje
        729    428    301  lunchmenuutje
        729    428    301  luchtechtheid
        729    428    301  kluchtfiguren
        729    428    301  ketchupflesje
        729    428    301  kauwgummigeur
        729    428    301  jachtwijzetje
        729    428    301  houtsculptuur
        729    428    301  hechtschijven
        729    428    301  hechtkrachtje
        729    428    301  gruwelfilmpje
        729    428    301  douchemuurtje
        729    428    301  cultuurjungle
        729    428    301  cultuurhuisje
        729    428    301  bouwmodulusje
        729    428    301  boscultuurtje
        729    428    301  avicultuurtje
        729    428    301  afschrijfpunt
        728    437    291  zenuwreflexje
        728    437    291  yoghurtcakeje
        728    437    291  taxustwijgjes
